points;country
100.713;Spanje
78.891;Duitsland
74.784;Engeland
70.439;Italie
52.915;Portugal
52.582;Frankrijk
51.082;Rusland
43.683;Oekraine
40;Belgie
35.563;Nederland
34.6;Turkije
33.775;Zwitserland
32.925;Tsjechie
29.7;Griekenland
25.383;Roemenie
25.1;Oostenrijk
23.875;Kroatie
22.5;Polen
22.175;Cyprus
20;Wit-Rusland
19.875;Zweden
19.25;Noorwegen
18.625;Israel
18.6;Denemarken
17.3;Schotland
14.875;Azerbeidzjan
14.125;Kazachstan
13.125;Bulgarije
13.125;Slovenie
12;Slowakije
10.5;Liechtenstein
9.875;Hongarije
9.125;Moldavie
8.75;IJsland
8.125;Georgie
7.4;Finland
7.125;Bosnie en Herzegovina
6.625;Albanie
6;Macedonie
5.45;Ierland
5.375;Letland
5.25;Luxemburg
4.875;Montenegro
4.625;Litouwen
4.5;Noord-Ierland
4.25;Estland
4.125;Armenie
3.625;Faerer
3.583;Malta
3.5;Wales
1;Gibraltar
0.999;Andorra
0.333;San Marino
