Belgium;22,2Ê;9,0Ê;30,5Ê;9,0Ê;31,0Ê;9,6Ê;37,8Ê;11,8Ê;;;
Bulgaria;5,8Ê;17,7Ê;6,8Ê;22,8Ê;7,4Ê;23,0Ê;8,4Ê;27,2Ê;;;
Czech Republic;8,0Ê;5,0Ê;16,7Ê;6,6Ê;23,1Ê;10,9Ê;28,5Ê;13,0Ê;;;
Denmark;6,7Ê;5,0Ê;9,8Ê;5,5Ê;15,1Ê;5,4Ê;23,5Ê;5,9Ê;;;
Germany;119,8Ê;39,7Ê;119,3Ê;57,9Ê;112,9Ê;80,9Ê;121,0Ê;107,2Ê;;;
Estonia;0,8Ê;2,0Ê;0,7Ê;2,9Ê;0,9Ê;3,6Ê;1,1Ê;4,7Ê;;;
Ireland;4,3Ê;14,0Ê;4,5Ê;27,7Ê;4,9Ê;23,8Ê;12,7Ê;25,3Ê;;;
Greece;10,6Ê;47,2Ê;10,7Ê;36,9Ê;Ê;33,1Ê;15,1Ê;38,2Ê;;;
Spain;8,3Ê;21,6Ê;13,8Ê;23,3Ê;23,0Ê;22,3Ê;30,5Ê;29,6Ê;;;
France;46,5Ê;36,7Ê;45,2Ê;47,2Ê;44,8Ê;47,6Ê;50,3Ê;55,1Ê;;;
Croatia;0,2Ê;8,8Ê;0,2Ê;9,4Ê;0,2Ê;9,5Ê;0,3Ê;10,0Ê;;;
Italy;15,6Ê;30,1Ê;17,0Ê;34,8Ê;18,8Ê;41,2Ê;19,8Ê;54,5Ê;;;
Cyprus;0,5Ê;15,0Ê;0,7Ê;17,0Ê;1,6Ê;26,0Ê;3,1Ê;25,5Ê;;;
Latvia;0,7Ê;2,0Ê;0,7Ê;2,9Ê;0,7Ê;4,2Ê;1,5Ê;7,3Ê;;;
Lithuania;0,2Ê;4,0Ê;0,7Ê;6,1Ê;0,4Ê;8,8Ê;0,4Ê;15,5Ê;;;
Luxembourg;Ê;6,2Ê;1,0Ê;6,6Ê;Ê;7,1Ê;2,5Ê;7,8Ê;;;
Hungary;7,9Ê;6,5Ê;9,2Ê;7,1Ê;10,6Ê;8,2Ê;12,1Ê;9,7Ê;;;
Malta;0,1Ê;0,5Ê;0,2Ê;0,9Ê;0,2Ê;1,2Ê;0,3Ê;1,4Ê;;;
Netherlands;11,9Ê;9,1Ê;22,0Ê;11,5Ê;31,7Ê;14,6Ê;44,4Ê;19,0Ê;;;
Austria;24,0Ê;9,9Ê;29,4Ê;10,3Ê;44,3Ê;11,6Ê;59,2Ê;15,2Ê;;;
Poland;2,2Ê;22,3Ê;3,1Ê;33,9Ê;5,5Ê;43,0Ê;8,6Ê;43,5Ê;;;
Portugal;2,7Ê;9,8Ê;3,0Ê;13,5Ê;2,9Ê;16,4Ê;9,2Ê;19,0Ê;;;
Romania;2,0Ê;14,1Ê;1,6Ê;18,9Ê;3,1Ê;25,3Ê;5,5Ê;37,5Ê;;;
Slovenia;0,6Ê;2,5Ê;0,9Ê;2,5Ê;1,3Ê;2,6Ê;1,7Ê;2,7Ê;;;
Slovakia;0,7Ê;13,5Ê;1,0Ê;22,3Ê;5,2Ê;29,4Ê;8,2Ê;35,4Ê;;;
Finland;2,8Ê;8,9Ê;3,3Ê;9,2Ê;3,6Ê;8,3Ê;4,5Ê;9,1Ê;;;
Sweden;17,4Ê;9,0Ê;19,1Ê;10,4Ê;11,9Ê;12,7Ê;13,2Ê;15,2Ê;;;
United Kingdom;103,0Ê;10,9Ê;144,4Ê;10,4Ê;175,0Ê;11,9Ê;205,6Ê;17,4Ê;;;
Iceland;0,4Ê;2,4Ê;0,5Ê;3,2Ê;0,7Ê;3,9Ê;0,9Ê;3,6Ê;;;
Liechtenstein;Ê;0,2Ê;0,4Ê;0,2Ê;0,5Ê;0,2Ê;0,6Ê;0,2Ê;;;
Norway;4,5Ê;9,5Ê;5,3Ê;10,4Ê;5,9Ê;11,4Ê;7,1Ê;14,5Ê;;;
Switzerland;Ê;Ê;Ê;Ê;Ê;Ê;Ê;Ê;;;
Montenegro;Ê;Ê;Ê;Ê;Ê;Ê;Ê;Ê;;;
Macedonia;0,0Ê;4,6Ê;0,1Ê;6,5Ê;0,1Ê;5,5Ê;0,2Ê;4,5Ê;;;
Albania;Ê;Ê;Ê;Ê;Ê;Ê;Ê;Ê;;;
Serbia;Ê;Ê;Ê;Ê;Ê;Ê;Ê;Ê;;;
Turkey;2,8Ê;35,5Ê;3,0Ê;37,2Ê;3,3Ê;44,1Ê;5,3Ê;56,6Ê;;;
Bosnia and Herzegovina
