Belgium;22.2;9;30.5;9;31;9.6;37.8;11.8
Bulgaria;5.8;17.7;6.8;22.8;7.4;23;8.4;27.2
Czech Republic;8;5;16.7;6.6;23.1;10.9;28.5;13
Denmark;6.7;5;9.8;5.5;15.1;5.4;23.5;5.9
Germany;119.8;39.7;119.3;57.9;112.9;80.9;121;107.2
Estonia;0.8;2;0.7;2.9;0.9;3.6;1.1;4.7
Ireland;4.3;14;4.5;27.7;4.9;23.8;12.7;25.3
Greece;10.6;47.2;10.7;36.9;;33.1;15.1;38.2
Spain;8.3;21.6;13.8;23.3;23;22.3;30.5;29.6
France;46.5;36.7;45.2;47.2;44.8;47.6;50.3;55.1
Croatia;0.2;8.8;0.2;9.4;0.2;9.5;0.3;10
Italy;15.6;30.1;17;34.8;18.8;41.2;19.8;54.5
Cyprus;0.5;15;0.7;17;1.6;26;3.1;25.5
Latvia;0.7;2;0.7;2.9;0.7;4.2;1.5;7.3
Lithuania;0.2;4;0.7;6.1;0.4;8.8;0.4;15.5
Luxembourg;;6.2;1;6.6;;7.1;2.5;7.8
Hungary;7.9;6.5;9.2;7.1;10.6;8.2;12.1;9.7
Malta;0.1;0.5;0.2;0.9;0.2;1.2;0.3;1.4
Netherlands;11.9;9.1;22;11.5;31.7;14.6;44.4;19
Austria;24;9.9;29.4;10.3;44.3;11.6;59.2;15.2
Poland;2.2;22.3;3.1;33.9;5.5;43;8.6;43.5
Portugal;2.7;9.8;3;13.5;2.9;16.4;9.2;19
Romania;2;14.1;1.6;18.9;3.1;25.3;5.5;37.5
Slovenia;0.6;2.5;0.9;2.5;1.3;2.6;1.7;2.7
Slovakia;0.7;13.5;1;22.3;5.2;29.4;8.2;35.4
Finland;2.8;8.9;3.3;9.2;3.6;8.3;4.5;9.1
Sweden;17.4;9;19.1;10.4;11.9;12.7;13.2;15.2
United Kingdom;103;10.9;144.4;10.4;175;11.9;205.6;17.4
Iceland;0.4;2.4;0.5;3.2;0.7;3.9;0.9;3.6
Liechtenstein;;0.2;0.4;0.2;0.5;0.2;0.6;0.2
Norway;4.5;9.5;5.3;10.4;5.9;11.4;7.1;14.5
Macedonia;0;4.6;0.1;6.5;0.1;5.5;0.2;4.5
Turkey;2.8;35.5;3;37.2;3.3;44.1;5.3;56.6
